tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60841.36371529987,3087363714715015003,2,3087363714715,19.584648,1,3087,2.134028,18.24968,18.282,0.077495456,0.1319,331.0585446,-1.9974873,0.9357143,t17_f5_c3,0.9999988,18.3829,0.1841,443120247.0,True,False,False,27.5.6,0.0,
ztf,60841.42478010012,3087424784715015004,1,3087424784715,19.576366,1,3087,2.259818,18.155973,18.1162,0.08946507,0.1015,331.0585319,-1.9974768,0.9457143,t17_f5_c3,0.99998426,18.04,0.1208,443120147.0,True,False,False,27.5.6,0.0,
ztf,60847.350763900205,3093350764715015007,2,3093350764715,20.084015,1,3093,2.2434394,16.941177,16.9652,0.03650447,0.0208,331.0584982,-1.9974734,0.75,t17_f5_c3,0.9999606,16.9438,0.0247,443120247.0,True,False,False,27.5.6,0.0,
ztf,60847.387627299875,3093387624715015004,1,3093387624715,20.255484,1,3093,2.2770026,16.841022,16.8241,0.038988836,0.0155,331.0585362,-1.9974904,0.8314286,t17_f5_c3,0.9998352,16.8174,0.0184,443120147.0,True,False,False,27.5.6,0.0,
ztf,60849.40163190011,3095401634715015007,1,3095401634715,20.565605,1,3095,2.2943106,16.6734,16.634,0.03638235,0.0132,331.0585189,-1.9974743,0.8657143,t17_f5_c3,0.999985,16.6234,0.0155,443120147.0,True,False,False,27.5.6,0.0,
ztf,60855.36954860017,3101369544715015003,2,3101369544715,19.857952,1,3101,2.1068275,16.596405,16.5903,0.031944174,0.0151,331.0585379,-1.9974658,0.6685714,t17_f5_c3,0.99935985,16.5877,0.0181,443120247.0,True,False,False,27.5.6,0.0,
ztf,60855.464282399975,3101464284715015004,1,3101464284715,20.574392,1,3101,2.24117,16.514109,16.5076,0.03556247,0.0115,331.0585368,-1.9974746,0.89857143,t17_f5_c3,0.99999464,16.5015,0.0135,443120147.0,True,False,False,27.5.6,0.0,
ztf,60858.39999999991,3104400004715015007,1,3104400004715,20.688145,1,3104,2.2417736,16.5574,16.5586,0.03351292,0.0117,331.0585317,-1.9974681,0.9057143,t17_f5_c3,0.9998956,16.5639,0.0138,443120147.0,True,False,False,27.5.6,0.0,
ztf,60858.44156249985,3104441564715015006,2,3104441564715,20.751883,1,3104,2.1691353,16.6113,16.5945,0.03833841,0.0131,331.0585297,-1.9974843,0.70428574,t17_f5_c3,0.999663,16.5913,0.0152,443120247.0,True,False,False,27.5.6,0.0,
ztf,60860.35959490016,3106359594715015007,2,3106359594715,20.486906,1,3106,2.1882048,16.667728,16.6564,0.043658126,0.0155,331.0585183,-1.997478,0.81142855,t17_f5_c3,0.99995893,16.6601,0.0184,443120247.0,True,False,False,27.5.6,0.0,
ztf,60860.434756900184,3106434754715015008,1,3106434754715,20.700773,1,3106,2.2392163,16.641548,16.6287,0.043522015,0.0122,331.0585443,-1.9974835,0.9114286,t17_f5_c3,0.999973,16.6215,0.0142,443120147.0,True,False,False,27.5.6,0.0,
ztf,60861.369907400105,3107369904715015011,2,3107369904715,20.613213,1,3107,2.1655889,16.708815,16.6995,0.039557718,0.0148,331.0585219,-1.9974722,0.74857146,t17_f5_c3,0.9999944,16.6835,0.0173,443120247.0,True,False,False,27.5.6,0.0,
ztf,60861.436423600186,3107436424715015006,1,3107436424715,20.693266,1,3107,2.2418926,16.691921,16.6819,0.03694409,0.0126,331.0585289,-1.9974644,0.91714287,t17_f5_c3,0.9999714,16.688,0.0149,443120147.0,True,False,False,27.5.6,0.0,
ztf,60861.437384299934,3107437384715015014,1,3107437384715,20.68987,1,3107,2.2409587,16.67083,16.6725,0.045558482,0.0125,331.0585332,-1.9974697,0.8971428,t17_f5_c3,0.99978244,16.6775,0.0147,443120147.0,True,False,False,27.5.6,0.0,
ztf,60862.43554400001,3108435544715015005,1,3108435544715,20.676668,1,3108,2.2517903,16.737656,16.709,0.035290267,0.013,331.0585398,-1.9974836,0.8971428,t17_f5_c3,0.9999919,16.7065,0.0153,443120147.0,True,False,False,27.5.6,0.0,
ztf,60862.43649310013,3108436494715015004,1,3108436494715,20.724773,1,3108,2.2540834,16.727304,16.7038,0.033891913,0.0128,331.058531,-1.9974729,0.9142857,t17_f5_c3,0.9999943,16.6877,0.0149,443120147.0,True,False,False,27.5.6,0.0,
ztf,60862.46157409996,3108461574715015012,2,3108461574715,20.653275,1,3108,2.1385484,16.760489,16.7524,0.040779885,0.0151,331.058533,-1.9974745,0.7285714,t17_f5_c3,0.9999906,16.7575,0.018,443120247.0,True,False,False,27.5.6,0.0,
ztf,60863.382060199976,3109382064715015005,1,3109382064715,20.261097,1,3109,2.2598004,16.783861,16.8004,0.035973396,0.0186,331.0585275,-1.9974694,0.92714286,t17_f5_c3,0.9999239,16.7707,0.0223,443120147.0,True,False,False,27.5.6,0.0,
ztf,60863.4615162001,3109461514715015012,2,3109461514715,20.676376,1,3109,2.148176,16.798662,16.8237,0.03865986,0.0158,331.058537,-1.9974851,0.7557143,t17_f5_c3,0.9999703,16.8233,0.0186,443120247.0,True,False,False,27.5.6,0.0,
ztf,60864.4442592999,3110444254715015014,1,3110444254715,20.716454,1,3110,2.2471468,16.830803,16.798,0.038824823,0.0141,331.0585315,-1.9974665,0.89285713,t17_f5_c3,0.9999737,16.786,0.0165,443120147.0,True,False,False,27.5.6,0.0,
ztf,60864.445208299905,3110445204715015005,1,3110445204715,20.742706,1,3110,2.2492476,16.82555,16.8057,0.038467836,0.014,331.0585388,-1.9974811,0.91571426,t17_f5_c3,0.9999989,16.7915,0.0164,443120147.0,True,False,False,27.5.6,0.0,
ztf,60864.462233799975,3110462234715015009,2,3110462234715,20.679296,1,3110,2.1926847,16.86634,16.8842,0.04408085,0.017,331.0585269,-1.9974915,0.5228571,t17_f5_c3,0.9999499,16.9046,0.0205,443120247.0,True,False,False,27.5.6,0.0,
