tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
ztf,60850.45115739992,3096451155015015022,2,3096451155015,20.392437,1,3096,1.7103336,19.971407,20.0781,0.14878008,0.291,332.5443574,-7.6500081,0.80714285,t17_f5_c3,0.9991585,20.1609,0.3997,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60852.3971644002,3098397165015015022,1,3098397165015,20.151299,1,3098,1.4134136,19.008865,18.8855,0.114050545,0.1248,332.5443279,-7.6500433,0.96,t17_f5_c3,0.9999995,18.8592,0.1549,391120150.0,True,False,False,27.5.6,0.0,,,,
ztf,60852.44828699995,3098448285015015012,2,3098448285015,20.338919,1,3098,1.5767436,19.033672,19.3653,0.10340321,0.167,332.544328,-7.650037,0.8814286,t17_f5_c3,0.9999999,19.2127,0.1846,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60852.44828699995,3098448285015025012,2,3098448285015,20.3389,1,3098,1.57674,19.0337,19.3653,0.103403,0.167,332.544328,-7.650037,0.881429,t17_f5_c3,,19.2127,0.1846,,False,False,False,27.5.6,0.0,3.128415235015015e+18,,,
ztf,60855.3671875,3101367185015015016,2,3101367185015,19.756247,1,3101,1.4543762,18.148624,18.2291,0.10120837,0.0654,332.5442988,-7.6500587,0.7885714,t17_f5_c3,0.9999527,18.261,0.0853,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60855.441064800136,3101441065015015021,1,3101441065015,20.108974,1,3101,1.3996525,18.037024,18.0055,0.0770205,0.041,332.5443382,-7.6500975,0.74857146,t17_f5_c3,0.99976957,17.9895,0.0506,391120150.0,True,True,True,27.5.6,0.0,,17.769844,0.059223168,0.06021916
ztf,60858.37770830002,3104377705015015020,1,3104377705015,20.464869,1,3104,1.3904887,17.587654,17.5823,0.058190614,0.0289,332.5443264,-7.6500611,0.9185714,t17_f5_c3,1.0,17.5617,0.0351,391120150.0,True,True,True,27.5.6,0.0,,17.40387,0.048508212,0.049129106
ztf,60858.44108799985,3104441085015015018,2,3104441085015,20.366348,1,3104,1.5302757,17.709034,17.674,0.07028127,0.0358,332.5443181,-7.6500482,0.83428574,t17_f5_c3,0.9999963,17.6737,0.0448,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60860.35673609981,3106356735015015021,2,3106356735015,20.312119,1,3106,1.5444806,17.579517,17.563,0.0542165,0.0348,332.5443191,-7.650042,0.9257143,t17_f5_c3,0.9999999,17.5686,0.0437,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60860.41971059982,3106419715015015014,1,3106419715015,20.568129,1,3106,1.3866886,17.394823,17.3754,0.048119023,0.0239,332.5443194,-7.6500435,0.9085714,t17_f5_c3,0.99999964,17.3475,0.0287,391120150.0,True,True,True,27.5.6,0.0,,17.238905,0.041141953,0.041682094
ztf,60861.3717939998,3107371795015015023,2,3107371795015,20.408613,1,3107,1.4835888,17.510654,17.5315,0.0444127,0.0299,332.5443036,-7.6500501,0.9028571,t17_f5_c3,0.9999888,17.5164,0.0367,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60861.43784719985,3107437845015015017,1,3107437845015,20.688438,1,3107,1.3934692,17.333109,17.3558,0.048695765,0.0217,332.5443212,-7.6500435,0.8371429,t17_f5_c3,0.9999939,17.3199,0.0257,391120150.0,True,True,True,27.5.6,0.0,,17.185246,0.042016264,0.0424958
ztf,60862.435080999974,3108435085015015019,1,3108435085015,20.615238,1,3108,1.3780547,17.316029,17.2907,0.06264752,0.0214,332.5443171,-7.6500466,0.9114286,t17_f5_c3,0.9999988,17.2543,0.0255,391120150.0,True,True,False,27.5.6,0.0,,17.170326,0.05441901,0.054780073
ztf,60862.43601850001,3108436015015015018,1,3108436015015,20.698446,1,3108,1.393083,17.304304,17.2883,0.043500844,0.0205,332.5443241,-7.6500554,0.8814286,t17_f5_c3,0.9999999,17.275,0.0247,391120150.0,True,True,True,27.5.6,0.0,,17.160067,0.037577953,0.038089264
ztf,60862.46109949984,3108461095015015035,2,3108461095015,20.460295,1,3108,1.5121139,17.464361,17.4543,0.04413171,0.0268,332.5443168,-7.6500607,0.85,t17_f5_c3,0.99998415,17.4426,0.0328,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60863.381585599855,3109381585015015012,1,3109381585015,19.961733,1,3109,1.3485214,17.306551,17.3267,0.046289742,0.0358,332.544304,-7.6500355,0.95,t17_f5_c3,1.0,17.3085,0.0445,391120150.0,True,True,False,27.5.6,0.0,,17.162033,0.040038772,0.040520776
ztf,60863.461041700095,3109461045015015026,2,3109461045015,20.501602,1,3109,1.5436316,17.433268,17.4658,0.048929904,0.0263,332.544321,-7.6500451,0.8585714,t17_f5_c3,0.9999944,17.4486,0.0321,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60864.44379629986,3110443795015015022,1,3110443795015,20.488771,1,3110,1.4060934,17.308987,17.3119,0.041905157,0.0248,332.5443233,-7.6500422,0.94285715,t17_f5_c3,0.9999999,17.2944,0.0302,391120150.0,True,False,False,27.5.6,0.0,,,,
ztf,60864.4447337999,3110444735015015031,1,3110444735015,20.655361,1,3110,1.3721683,17.300577,17.3211,0.04407074,0.0222,332.5443123,-7.6500403,0.9071429,t17_f5_c3,0.99999964,17.3127,0.027,391120150.0,True,True,False,27.5.6,0.0,,17.156803,0.03810337,0.03860472
