tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60851.34142359998,3097341422415015014,2,3097341422415,20.644447,1,3097,3.8076718,18.63451,18.5894,0.061630696,0.0764,316.9606481,18.1521601,0.9514286,t17_f5_c3,0.9999971,18.4859,0.0886,594120224.0,True,False,False,27.5.6,0.0,
ztf,60851.34142359998,3097341422415025021,2,3097341422415,20.6413,1,3097,3.81201,18.6357,18.5965,0.060217,0.077,316.960647,18.152159,0.95,t17_f5_c3,,18.4917,0.0892,,False,False,False,27.5.6,0.0,3.125294432415015e+18
ztf,60851.39493060019,3097394932415015019,2,3097394932415,20.780386,1,3097,3.7908907,18.636663,18.6784,0.07588343,0.0772,316.9606648,18.1521639,0.93,t17_f5_c3,0.9998567,18.6398,0.0953,594120224.0,True,False,False,27.5.6,0.0,
ztf,60851.39493060019,3097394932415025016,2,3097394932415,20.7822,1,3097,3.79186,18.6413,18.7027,0.075169,0.0788,316.9606654,18.1521635,0.93,t17_f5_c3,,18.6758,0.0984,,False,False,False,27.5.6,0.0,3.127383572415015e+18
ztf,60853.32047449984,3099320472415015014,1,3099320472415,20.479637,1,3099,3.1972406,17.629492,17.6277,0.042446405,0.0311,316.9606433,18.1521657,0.94142854,t17_f5_c3,1.0,17.5782,0.0372,594120124.0,True,False,False,27.5.6,0.0,
ztf,60853.32047449984,3099320472415025014,1,3099320472415,20.4796,1,3099,3.19724,17.6295,17.6277,0.042446,0.0311,316.9606433,18.1521657,0.941429,t17_f5_c3,,17.5782,0.0372,,False,False,False,27.5.6,0.0,3.129288192415015e+18
ztf,60853.389907400124,3099389902415015017,2,3099389902415,20.668547,1,3099,3.7613368,17.584686,17.593,0.04277758,0.0306,316.9606643,18.152172,0.92714286,t17_f5_c3,0.9999992,17.5471,0.0371,594120224.0,True,False,False,27.5.6,0.0,
ztf,60855.3628934999,3101362892415015027,2,3101362892415,20.3071,1,3101,3.82562,16.8567,16.8919,0.032209,0.0185,316.9606501,18.1521558,0.898571,t17_f5_c3,,16.8762,0.0227,,False,False,False,27.5.6,0.0,3.131324992415015e+18
ztf,60855.39444439998,3101394442415015024,1,3101394442415,20.4443,1,3101,3.20824,16.8528,16.8291,0.03933,0.0148,316.9606446,18.1521603,0.878571,t17_f5_c3,,16.8118,0.0178,,False,False,False,27.5.6,0.0,3.131324992415015e+18
ztf,60858.3584143999,3104358412415015014,1,3104358412415,20.65359,1,3104,3.170749,16.164307,16.1737,0.030368464,0.0088,316.9606553,18.1521672,0.8457143,t17_f5_c3,0.9999994,16.1553,0.0101,594120124.0,True,False,False,27.5.6,0.0,
ztf,60858.451203700155,3104451202415015014,2,3104451202415,20.8425,1,3104,3.80634,16.1077,16.1392,0.02838,0.0089,316.9606462,18.1521604,0.735714,t17_f5_c3,,16.1179,0.0104,,False,False,False,27.5.6,0.0,3.133344832415015e+18
ztf,60860.358645800035,3106358642415015024,2,3106358642415,20.6289,1,3106,3.81183,15.881387,15.927,0.03573023,0.008,316.9606495,18.1521608,0.7771429,t17_f5_c3,0.99997115,15.9117,0.0094,594120224.0,True,False,False,27.5.6,0.0,
ztf,60860.41673609987,3106416732415015012,1,3106416732415,20.731668,1,3106,3.1987894,15.89365,15.9192,0.03304959,0.0071,316.9606579,18.1521581,0.8257143,t17_f5_c3,0.99879694,15.9097,0.0081,594120124.0,True,False,False,27.5.6,0.0,
ztf,60862.35972219985,3108359722415015017,2,3108359722415,20.448,1,3108,3.8225145,15.773467,15.7954,0.029938364,0.0078,316.960659,18.1521553,0.7657143,t17_f5_c3,0.99999976,15.7853,0.0093,594120224.0,True,False,False,27.5.6,0.0,
ztf,60862.422893499956,3108422892415015022,1,3108422892415,20.783577,1,3108,3.2115698,15.76104,15.7712,0.027754867,0.0063,316.9606653,18.1521526,0.76428574,t17_f5_c3,0.9998822,15.7527,0.0071,594120124.0,True,False,False,27.5.6,0.0,
ztf,60864.36663189996,3110366632415015008,2,3110366632415,20.337341,1,3110,3.801969,15.734579,15.7579,0.03116597,0.0084,316.9606462,18.152163,0.76285714,t17_f5_c3,0.9996903,15.75,0.0101,594120224.0,True,False,False,27.5.6,0.0,
ztf,60864.431608799845,3110431602415015017,1,3110431602415,20.60495,1,3110,3.15891,15.697677,15.7085,0.040937185,0.0066,316.9606626,18.152168,0.83285713,t17_f5_c3,0.99925584,15.6976,0.0076,594120124.0,True,False,False,27.5.6,0.0,
